game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,123,+3.000,+3.000,+97.314,+97.589,+97.402,+105.329,+97.373,+100.437,+0.041,+3.474,+3.000,+97.495,+101.322,+98.905,+1.717
0,124,+15.000,+15.000,+96.090,+97.904,+106.647,+159.401,+99.673,+112.977,+3.135,+23.415,+15.000,+96.997,+132.482,+106.325,+12.535
0,125,+6.000,+6.000,+97.538,+98.947,+99.473,+112.103,+98.330,+103.289,+0.812,+5.222,+6.000,+98.242,+105.525,+100.810,+2.957
0,126,+2.000,+2.000,+95.492,+99.902,+101.380,+102.807,+98.436,+101.354,+2.944,+1.453,+2.000,+97.697,+102.093,+99.895,+2.198
0,127,+10.000,+10.000,+96.410,+99.495,+106.834,+117.800,+100.148,+107.349,+3.167,+6.806,+10.000,+98.156,+112.317,+103.748,+4.798
0,128,+12.000,+12.000,+95.297,+96.888,+107.939,+125.530,+100.491,+107.310,+3.286,+9.755,+12.000,+96.092,+116.734,+103.900,+6.380
0,129,+9.000,+9.000,+98.947,+98.947,+101.166,+106.352,+99.514,+102.078,+0.646,+3.107,+9.000,+98.947,+103.759,+100.796,+1.773
0,130,+19.000,+19.000,+96.875,+98.143,+116.324,+121.979,+101.218,+106.442,+4.407,+8.087,+19.000,+97.682,+118.740,+103.830,+5.853
0,131,+16.000,+16.000,+95.403,+96.460,+103.701,+140.743,+100.464,+106.637,+1.857,+12.857,+16.000,+95.931,+122.222,+103.550,+6.953
0,132,+20.000,+20.000,+97.539,+99.509,+119.454,+152.213,+102.605,+117.100,+4.659,+19.745,+20.000,+98.626,+135.833,+109.853,+11.485
